job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,skills,salary_max,company_size_num,company_size_group,skills_clean,skill_count,salary_max_new
data scientist,senior,hybrid,company_003,"Grapevine, TX . Hybrid",17 days ago,"Bentonville, AR, US",Retail,Public,€352.44B,Public,"['spark', 'r', 'python', 'scala', 'machine learning', 'tensorflow']",200938.0,352440000000.0,large,spark|r|python|scala|machine learning|tensorflow,6,261219.40000000002
data scientist,lead,hybrid,company_005,"Fort Worth, TX . Hybrid",15 days ago,"Detroit, MI, US",Manufacturing,Public,"155,030",€51.10B,"['spark', 'r', 'python', 'sql', 'machine learning']",118733.0,155030.0,large,spark|r|python|sql|machine learning,5,154352.9
data scientist,senior,on-site,company_007,"Austin, TX . Toronto, Ontario, Canada . Kirkland, WA . Orlando, FL . Edmonton, Alberta, Canada + 1 More",a month ago,"Redwood City, CA, US",Technology,Public,"25,930",€33.80B,"['aws', 'git', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning']",159559.0,25930.0,large,aws|git|python|docker|sql|machine learning|gcp|kubernetes|deep learning,9,207426.7
data scientist,senior,hybrid,company_008,"Chicago, IL . Scottsdale, AZ . Austin, TX . Hybrid",8 days ago,"San Jose, CA, US",Technology,Public,"34,690",€81.71B,"['sql', 'r', 'python']",194402.0,34690.0,large,sql|r|python,3,252722.6
data scientist,,on-site,company_009,On-site,3 days ago,"Stamford, CT, US",Finance,Private,"1,800",Private,[],228337.0,1800.0,medium,,0,251170.7
data scientist,lead,,company_013,"New York, NY",3 months ago,"New York, NY, US",Technology,Private,150,€2.16B,"['scikit-learn', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']",251170.0,150.0,small,scikit-learn|python|scala|sql|machine learning|tensorflow,6,251170.0
data scientist,junior,,company_014,"Berkeley, CA",15 days ago,"Berkeley, CA, US",Education,,"17,471",Education,[],70144.0,17471.0,medium,,0,77158.40000000001
machine learning engineer,senior,on-site,company_015,"Menlo Park, CA",9 days ago,"Menlo Park, CA, US",Technology,Public,900,Public,['machine learning'],132440.0,900.0,small,machine learning,1,132440.0
data scientist,senior,remote,company_019,Fully Remote,6 days ago,"Boston, MA, US",Technology,Private,126,Private,[],207331.0,126.0,small,,0,207331.0
data scientist,senior,on-site,company_021,On-site,a day ago,"San Francisco, CA, US",Technology,Public,"5,520",€61.06B,[],219201.0,5520.0,medium,,0,241121.1
data scientist,senior,,company_022,"Atlanta, GA",15 days ago,"Charlotte, NC, US",Technology,Public,"103,010",€128.13B,"['pytorch', 'r', 'python', 'sql', 'machine learning', 'keras', 'deep learning', 'tensorflow']",96815.0,103010.0,large,pytorch|r|python|sql|machine learning|keras|deep learning|tensorflow,8,125859.5
data scientist,midlevel,,company_027,Greater Vancouver Metropolitan Area,6 days ago,"Vancouver, BC, CA",Education,,240,Education,"['java', 'git', 'python']",89293.0,240.0,small,java|git|python,3,89293.0
